nome;ano;sexo;n
Novo Airão (AM);2022;Mulheres;721
Novo Aripuanã (AM);2022;Total;1229
Novo Aripuanã (AM);2022;Homens;584
Novo Aripuanã (AM);2022;Mulheres;645
Parintins (AM);2022;Total;4894
Parintins (AM);2022;Homens;2358
Parintins (AM);2022;Mulheres;2536
Pauini (AM);2022;Total;434
Pauini (AM);2022;Homens;192
Pauini (AM);2022;Mulheres;242
Presidente Figueiredo (AM);2022;Total;4790
Presidente Figueiredo (AM);2022;Homens;2544
Presidente Figueiredo (AM);2022;Mulheres;2246
Rio Preto da Eva (AM);2022;Total;3701
Rio Preto da Eva (AM);2022;Homens;1971
Rio Preto da Eva (AM);2022;Mulheres;1730
Santa Isabel do Rio Negro (AM);2022;Total;360
Santa Isabel do Rio Negro (AM);2022;Homens;105
Santa Isabel do Rio Negro (AM);2022;Mulheres;255
Santo Antônio do Içá (AM);2022;Total;1227
Santo Antônio do Içá (AM);2022;Homens;590
Santo Antônio do Içá (AM);2022;Mulheres;637
São Gabriel da Cachoeira (AM);2022;Total;2422
São Gabriel da Cachoeira (AM);2022;Homens;1225
São Gabriel da Cachoeira (AM);2022;Mulheres;1197
São Paulo de Olivença (AM);2022;Total;560
São Paulo de Olivença (AM);2022;Homens;254
São Paulo de Olivença (AM);2022;Mulheres;306
São Sebastião do Uatumã (AM);2022;Total;844
São Sebastião do Uatumã (AM);2022;Homens;434
São Sebastião do Uatumã (AM);2022;Mulheres;410
Silves (AM);2022;Total;795
Silves (AM);2022;Homens;431
Silves (AM);2022;Mulheres;363
Tabatinga (AM);2022;Total;3939
Tabatinga (AM);2022;Homens;1935
Tabatinga (AM);2022;Mulheres;2004
Tapauá (AM);2022;Total;390
Tapauá (AM);2022;Homens;173
Tapauá (AM);2022;Mulheres;216
Tefé (AM);2022;Total;4702
Tefé (AM);2022;Homens;2292
Tefé (AM);2022;Mulheres;2409
Tonantins (AM);2022;Total;400
Tonantins (AM);2022;Homens;218
Tonantins (AM);2022;Mulheres;182
Uarini (AM);2022;Total;602
Uarini (AM);2022;Homens;324
Uarini (AM);2022;Mulheres;278
Urucará (AM);2022;Total;898
Urucará (AM);2022;Homens;518
Urucará (AM);2022;Mulheres;380
Urucurituba (AM);2022;Total;1174
Urucurituba (AM);2022;Homens;591
Urucurituba (AM);2022;Mulheres;583
Amajari (RR);2022;Total;1385
Amajari (RR);2022;Homens;717
Amajari (RR);2022;Mulheres;668
Alto Alegre (RR);2022;Total;1166
Alto Alegre (RR);2022;Homens;639
Alto Alegre (RR);2022;Mulheres;527
Boa Vista (RR);2022;Total;64330
Boa Vista (RR);2022;Homens;31604
Boa Vista (RR);2022;Mulheres;32726
Bonfim (RR);2022;Total;1154
Bonfim (RR);2022;Homens;621
Bonfim (RR);2022;Mulheres;533
Cantá (RR);2022;Total;3435
Cantá (RR);2022;Homens;1879
Cantá (RR);2022;Mulheres;1556
Caracaraí (RR);2022;Total;1848
Caracaraí (RR);2022;Homens;951
Caracaraí (RR);2022;Mulheres;897
Caroebe (RR);2022;Total;1630
Caroebe (RR);2022;Homens;837
Caroebe (RR);2022;Mulheres;793
Iracema (RR);2022;Total;1667
Iracema (RR);2022;Homens;901
Iracema (RR);2022;Mulheres;766
Mucajaí (RR);2022;Total;2554
Mucajaí (RR);2022;Homens;1381
Mucajaí (RR);2022;Mulheres;1173
Normandia (RR);2022;Total;1023
Normandia (RR);2022;Homens;505
Normandia (RR);2022;Mulheres;518
Pacaraima (RR);2022;Total;5452
Pacaraima (RR);2022;Homens;2817
Pacaraima (RR);2022;Mulheres;2635
Rorainópolis (RR);2022;Total;5446
Rorainópolis (RR);2022;Homens;2705
Rorainópolis (RR);2022;Mulheres;2741
São João da Baliza (RR);2022;Total;1487
São João da Baliza (RR);2022;Homens;781
São João da Baliza (RR);2022;Mulheres;706
São Luiz (RR);2022;Total;1476
São Luiz (RR);2022;Homens;746
São Luiz (RR);2022;Mulheres;730
Uiramutã (RR);2022;Total;158
Uiramutã (RR);2022;Homens;86
Uiramutã (RR);2022;Mulheres;72
Abaetetuba (PA);2022;Total;4605
Abaetetuba (PA);2022;Homens;2208
Abaetetuba (PA);2022;Mulheres;2397
Abel Figueiredo (PA);2022;Total;722
Abel Figueiredo (PA);2022;Homens;340
Abel Figueiredo (PA);2022;Mulheres;382
Acará (PA);2022;Total;1053
Acará (PA);2022;Homens;464
Acará (PA);2022;Mulheres;588
Afuá (PA);2022;Total;555
Afuá (PA);2022;Homens;278
Afuá (PA);2022;Mulheres;277
Água Azul do Norte (PA);2022;Total;1644
Água Azul do Norte (PA);2022;Homens;910
Água Azul do Norte (PA);2022;Mulheres;733
Alenquer (PA);2022;Total;1778
Alenquer (PA);2022;Homens;859
Alenquer (PA);2022;Mulheres;919
Almeirim (PA);2022;Total;1997
Almeirim (PA);2022;Homens;1055
Almeirim (PA);2022;Mulheres;941
Altamira (PA);2022;Total;11604
Altamira (PA);2022;Homens;5746
Altamira (PA);2022;Mulheres;5858
Anajás (PA);2022;Total;710
Anajás (PA);2022;Homens;382
Anajás (PA);2022;Mulheres;328
Ananindeua (PA);2022;Total;32252
Ananindeua (PA);2022;Homens;15054
Ananindeua (PA);2022;Mulheres;17198
Anapu (PA);2022;Total;5141
Anapu (PA);2022;Homens;2584
Anapu (PA);2022;Mulheres;2557
Augusto Corrêa (PA);2022;Total;1316
Augusto Corrêa (PA);2022;Homens;555
Augusto Corrêa (PA);2022;Mulheres;760
Aurora do Pará (PA);2022;Total;1131
Aurora do Pará (PA);2022;Homens;501
Aurora do Pará (PA);2022;Mulheres;630
Aveiro (PA);2022;Total;743
Aveiro (PA);2022;Homens;405
Aveiro (PA);2022;Mulheres;338
Bagre (PA);2022;Total;644
Bagre (PA);2022;Homens;350
Bagre (PA);2022;Mulheres;294
Baião (PA);2022;Total;1333
Baião (PA);2022;Homens;693
Baião (PA);2022;Mulheres;639
Bannach (PA);2022;Total;583
Bannach (PA);2022;Homens;297
Bannach (PA);2022;Mulheres;285
Barcarena (PA);2022;Total;11746
Barcarena (PA);2022;Homens;5907
Barcarena (PA);2022;Mulheres;5838
Belém (PA);2022;Total;44902
Belém (PA);2022;Homens;20842
Belém (PA);2022;Mulheres;24060
Belterra (PA);2022;Total;1780
Belterra (PA);2022;Homens;846
Belterra (PA);2022;Mulheres;934
Benevides (PA);2022;Total;5501
Benevides (PA);2022;Homens;2688
Benevides (PA);2022;Mulheres;2813
Bom Jesus do Tocantins (PA);2022;Total;1898
Bom Jesus do Tocantins (PA);2022;Homens;949
Bom Jesus do Tocantins (PA);2022;Mulheres;948
Bonito (PA);2022;Total;797
Bonito (PA);2022;Homens;353
Bonito (PA);2022;Mulheres;444
Bragança (PA);2022;Total;6595
Bragança (PA);2022;Homens;3289
Bragança (PA);2022;Mulheres;3306
Brasil Novo (PA);2022;Total;2225
Brasil Novo (PA);2022;Homens;1110
Brasil Novo (PA);2022;Mulheres;1114
Brejo Grande do Araguaia (PA);2022;Total;644
Brejo Grande do Araguaia (PA);2022;Homens;355
Brejo Grande do Araguaia (PA);2022;Mulheres;290
Breu Branco (PA);2022;Total;3622
Breu Branco (PA);2022;Homens;1800
Breu Branco (PA);2022;Mulheres;1823
Breves (PA);2022;Total;3083
Breves (PA);2022;Homens;1430
Breves (PA);2022;Mulheres;1653
Bujaru (PA);2022;Total;1091
Bujaru (PA);2022;Homens;430
Bujaru (PA);2022;Mulheres;661
Cachoeira do Piriá (PA);2022;Total;967
Cachoeira do Piriá (PA);2022;Homens;501
Cachoeira do Piriá (PA);2022;Mulheres;466
Cachoeira do Arari (PA);2022;Total;752
Cachoeira do Arari (PA);2022;Homens;362
Cachoeira do Arari (PA);2022;Mulheres;390
Cametá (PA);2022;Total;3537
Cametá (PA);2022;Homens;1774
Cametá (PA);2022;Mulheres;1764
Canaã dos Carajás (PA);2022;Total;19169
Canaã dos Carajás (PA);2022;Homens;9943
Canaã dos Carajás (PA);2022;Mulheres;9225
Capanema (PA);2022;Total;6201
Capanema (PA);2022;Homens;2940
Capanema (PA);2022;Mulheres;3261
Capitão Poço (PA);2022;Total;2513
Capitão Poço (PA);2022;Homens;1258
Capitão Poço (PA);2022;Mulheres;1254
Castanhal (PA);2022;Total;13673
Castanhal (PA);2022;Homens;6647
Castanhal (PA);2022;Mulheres;7026
Chaves (PA);2022;Total;587
Chaves (PA);2022;Homens;277
Chaves (PA);2022;Mulheres;310
Colares (PA);2022;Total;873
Colares (PA);2022;Homens;458
Colares (PA);2022;Mulheres;415
Conceição do Araguaia (PA);2022;Total;2583
Conceição do Araguaia (PA);2022;Homens;1261
Conceição do Araguaia (PA);2022;Mulheres;1323
Concórdia do Pará (PA);2022;Total;2018
Concórdia do Pará (PA);2022;Homens;909
Concórdia do Pará (PA);2022;Mulheres;1109
Cumaru do Norte (PA);2022;Total;1599
Cumaru do Norte (PA);2022;Homens;848
Cumaru do Norte (PA);2022;Mulheres;751
Curionópolis (PA);2022;Total;2329
Curionópolis (PA);2022;Homens;1208
Curionópolis (PA);2022;Mulheres;1121
Curralinho (PA);2022;Total;1059
Curralinho (PA);2022;Homens;450
Curralinho (PA);2022;Mulheres;609
Curuá (PA);2022;Total;789
Curuá (PA);2022;Homens;375
Curuá (PA);2022;Mulheres;413
Curuçá (PA);2022;Total;1959
Curuçá (PA);2022;Homens;921
Curuçá (PA);2022;Mulheres;1037
Dom Eliseu (PA);2022;Total;2394
Dom Eliseu (PA);2022;Homens;1064
Dom Eliseu (PA);2022;Mulheres;1330
Eldorado do Carajás (PA);2022;Total;2967
Eldorado do Carajás (PA);2022;Homens;1444
Eldorado do Carajás (PA);2022;Mulheres;1523
Faro (PA);2022;Total;625
Faro (PA);2022;Homens;295
Faro (PA);2022;Mulheres;330
Floresta do Araguaia (PA);2022;Total;1641
Floresta do Araguaia (PA);2022;Homens;865
Floresta do Araguaia (PA);2022;Mulheres;776
Garrafão do Norte (PA);2022;Total;1345
Garrafão do Norte (PA);2022;Homens;636
Garrafão do Norte (PA);2022;Mulheres;709
Goianésia do Pará (PA);2022;Total;2445
Goianésia do Pará (PA);2022;Homens;1164
Goianésia do Pará (PA);2022;Mulheres;1281
Gurupá (PA);2022;Total;1289
Gurupá (PA);2022;Homens;708
Gurupá (PA);2022;Mulheres;581
Igarapé-Açu (PA);2022;Total;2704
Igarapé-Açu (PA);2022;Homens;1337
Igarapé-Açu (PA);2022;Mulheres;1367
Igarapé-Miri (PA);2022;Total;1112
Igarapé-Miri (PA);2022;Homens;558
Igarapé-Miri (PA);2022;Mulheres;554
Inhangapi (PA);2022;Total;846
Inhangapi (PA);2022;Homens;409
Inhangapi (PA);2022;Mulheres;436
Ipixuna do Pará (PA);2022;Total;2282
Ipixuna do Pará (PA);2022;Homens;1221
Ipixuna do Pará (PA);2022;Mulheres;1061
Irituia (PA);2022;Total;1822
Irituia (PA);2022;Homens;861
